coin,date,open,high,low,close,volume,market_cap,circulating_supply,ret,rv_7d,rv_30d,range_abs,range_pct,group
1INCH,2025-07-28,0.291,0.2948,0.2691,0.2695,144383.13,375171964,1395607547.351512,-0.07388316151202734,0.9029030877441545,,0.0257,0.09550353028613898,Other
1INCH,2025-07-29,0.2695,0.2793,0.2631,0.273,223572.29,375171964,1395607547.351512,0.012987012987013102,0.9368779733040777,,0.016199999999999992,0.0615735461801596,Other
1INCH,2025-07-30,0.273,0.2741,0.2518,0.2649,133016.71,375171964,1395607547.351512,-0.029670329670329676,0.7350441777859733,,0.022299999999999986,0.08856235107227953,Other
1INCH,2025-07-31,0.2649,0.2719,0.249,0.2491,150968.47999999998,375171964,1395607547.351512,-0.059645149112872886,0.7995278799006833,,0.022899999999999976,0.09196787148594368,Other
1INCH,2025-08-01,0.2491,0.25,0.2354,0.2419,177522.03,375171964,1395607547.351512,-0.028904054596547546,0.7497849305073624,,0.014600000000000002,0.06202209005947325,Other
1INCH,2025-08-02,0.2419,0.2456,0.2328,0.243,162962.76,375171964,1395607547.351512,0.004547333608929227,0.7289489492925483,,0.012800000000000006,0.054982817869415834,Other
1INCH,2025-08-03,0.243,0.252,0.2399,0.251,124489.46,375171964,1395607547.351512,0.03292181069958855,0.7456234702082651,,0.0121,0.05043768236765319,Other
1INCH,2025-08-04,0.251,0.2754,0.2506,0.2731,316646.53,375171964,1395607547.351512,0.08804780876494034,0.9307390489786318,,0.02479999999999999,0.0989624900239425,Other
1INCH,2025-08-05,0.2731,0.2744,0.2532,0.258,194171.38,375171964,1395607547.351512,-0.0552911021603808,1.012692945929598,,0.021199999999999997,0.08372827804107424,Other
1INCH,2025-08-06,0.258,0.271,0.2501,0.2679,221639.41999999998,375171964,1395607547.351512,0.03837209302325584,1.0383112185705201,,0.02090000000000003,0.08356657337065186,Other
1INCH,2025-08-07,0.2684,0.2693,0.2669,0.2674,104546.82,375171964,1395607547.351512,-0.0018663680477790656,0.9015202221169721,1.304014694075652,0.0023999999999999577,0.008992131884600815,Other
A,2025-07-08,0.4874,0.5166,0.482,0.5045,43463.42,804017040,1582711251.4889,,,,0.034599999999999964,0.07178423236514515,Other
A,2025-07-09,0.5039,0.5282,0.4972,0.5264,39262.14,804017040,1582711251.4889,0.043409316154608524,,,0.031000000000000028,0.06234915526950931,Other
A,2025-07-10,0.5241,0.5606,0.5169,0.5454,64772.95,804017040,1582711251.4889,0.03609422492401215,,,0.04369999999999996,0.08454246469336421,Other
A,2025-07-11,0.5441,0.5614,0.5313,0.5391,101683.1,804017040,1582711251.4889,-0.011551155115511524,,,0.030100000000000016,0.05665349143610016,Other
A,2025-07-12,0.5391,0.5479,0.517,0.531,35425.0,804017040,1582711251.4889,-0.015025041736226985,,,0.03090000000000004,0.05976789168278537,Other
A,2025-07-13,0.531,0.5612,0.5269,0.5458,38088.81,804017040,1582711251.4889,0.027871939736346274,,,0.0343,0.0650977415069273,Other
A,2025-07-14,0.5444,0.5719,0.542,0.5482,38376.29,804017040,1582711251.4889,0.004397215097105223,,,0.029899999999999927,0.05516605166051647,Other
A,2025-07-15,0.5478,0.5604,0.5323,0.5575,36191.56,804017040,1582711251.4889,0.016964611455672962,0.4370083767666735,,0.028100000000000014,0.052789780199135855,Other
A,2025-07-16,0.5559,0.5715,0.5481,0.5591,81997.75,804017040,1582711251.4889,0.0028699551569506543,0.366806072245044,,0.023399999999999976,0.04269293924466334,Other
A,2025-07-17,0.5591,0.6275,0.5472,0.5738,97023.87,804017040,1582711251.4889,0.02629225541048097,0.3271236135678254,,0.08029999999999993,0.14674707602339168,Other
A,2025-07-18,0.5726,0.6533,0.5604,0.5921,99989.26,804017040,1582711251.4889,0.031892645521087504,0.32440415573834797,,0.09289999999999998,0.16577444682369732,Other
A,2025-07-19,0.5921,0.6226,0.5722,0.6082,112139.79,804017040,1582711251.4889,0.027191352812024894,0.22603992917805119,,0.0504,0.08808109052778748,Other
A,2025-07-20,0.6084,0.637,0.5995,0.6243,83184.51,804017040,1582711251.4889,0.026471555409404823,0.22314512416722304,,0.03749999999999998,0.06255212677231022,Other
A,2025-07-21,0.6254,0.6504,0.5909,0.6059,102240.4,804017040,1582711251.4889,-0.02947300977094336,0.4142473328699352,,0.0595,0.10069385682856659,Other
A,2025-07-22,0.6048,0.6075,0.5799,0.6013,99686.24,804017040,1582711251.4889,-0.0075920118831490635,0.44270039225977476,,0.02760000000000007,0.047594412829798365,Other
A,2025-07-23,0.6013,0.6504,0.5791,0.6098,135665.88,804017040,1582711251.4889,0.01413603858307022,0.4374129920307921,,0.07130000000000003,0.12312208599551033,Other
A,2025-07-24,0.6107,0.6122,0.5511,0.5742,92360.74,804017040,1582711251.4889,-0.05837979665464077,0.6520462552635213,,0.06109999999999993,0.11086917074941013,Other
A,2025-07-25,0.5754,0.5776,0.5533,0.5765,110153.51,804017040,1582711251.4889,0.0040055729710901655,0.5996367570867648,,0.02429999999999999,0.043918308331827194,Other
A,2025-07-26,0.5765,0.5787,0.5689,0.5704,43063.229999999996,804017040,1582711251.4889,-0.010581092801387637,0.5417353896834902,,0.009800000000000031,0.017226226050272513,Other
A,2025-07-27,0.5704,0.5873,0.5712,0.5822,98803.40999999999,804017040,1582711251.4889,0.020687237026647987,0.5200173138436582,,0.016100000000000003,0.028186274509803926,Other
A,2025-07-28,0.5822,0.5918,0.54,0.5447,42849.22,804017040,1582711251.4889,-0.06441085537615954,0.6469495701185498,,0.05179999999999996,0.09592592592592585,Other
A,2025-07-29,0.5467,0.5712,0.5329,0.5451,58987.76,804017040,1582711251.4889,0.0007343491830367199,0.6551707240760097,,0.0383,0.07187089510227058,Other
A,2025-07-30,0.5445,0.5454,0.5228,0.5357,42395.24,804017040,1582711251.4889,-0.017244542285819286,0.6127474438322579,,0.022599999999999953,0.04322876817138476,Other
A,2025-07-31,0.5362,0.542,0.5108,0.5116,34001.65,804017040,1582711251.4889,-0.044987866343102256,0.5646497167223709,,0.031200000000000006,0.0610806577916993,Other
A,2025-08-01,0.5116,0.5153,0.4877,0.5006,58173.36,804017040,1582711251.4889,-0.021501172791243195,0.5392210455986429,,0.027599999999999958,0.056592167315972844,Other
A,2025-08-02,0.4998,0.5044,0.477,0.4874,8993.2,804017040,1582711251.4889,-0.026368357970435574,0.5351667124706935,,0.02739999999999998,0.057442348008385706,Other
A,2025-08-03,0.4874,0.5019,0.483,0.4964,4178.2,804017040,1582711251.4889,0.018465326220763245,0.5245533179798751,,0.018900000000000028,0.039130434782608754,Other
A,2025-08-04,0.4964,0.513,0.496,0.5122,15043.1,804017040,1582711251.4889,0.03182917002417396,0.5135269699111541,,0.017000000000000015,0.03427419354838713,Other
A,2025-08-05,0.5122,0.5216,0.4811,0.5046,30726.24,804017040,1582711251.4889,-0.014837953924248248,0.5088951618148347,,0.040499999999999925,0.08418208272708361,Other
A,2025-08-06,0.5046,0.9028,0.4926,0.5072,36091.75,804017040,1582711251.4889,0.005152596115735042,0.5169118958001995,,0.41020000000000006,0.8327243199350387,Other
A,2025-08-07,0.5073,0.5103,0.5065,0.5086,267273.33,804017040,1582711251.4889,0.0027602523659306932,0.4099857171610292,0.5274229453771205,0.0038000000000000256,0.007502467917078037,Other
AAVE,2025-07-08,283.23,294.87,276.93,293.05,18160668.06,4029975066,15210525.273239609,,,,17.939999999999998,0.06478171379048857,Other
AAVE,2025-07-09,293.05,306.67,290.21,301.87,23682118.84,4029975066,15210525.273239609,0.03009725302849331,,,16.460000000000036,0.05671754936080782,Other
AAVE,2025-07-10,301.87,315.86,292.55,308.72,28815459.14,4029975066,15210525.273239609,0.022691887236227615,,,23.310000000000002,0.0796786874038626,Other
AAVE,2025-07-11,308.72,318.15,294.5,297.54,25673999.62,4029975066,15210525.273239609,-0.0362140450894014,,,23.649999999999977,0.08030560271646851,Other
AAVE,2025-07-12,297.54,306.89,293.18,302.08,12334936.48,4029975066,15210525.273239609,0.015258452645022347,,,13.70999999999998,0.0467630807012756,Other
AAVE,2025-07-13,302.08,317.78,300.14,305.99,13167558.290000001,4029975066,15210525.273239609,0.012943591101695073,,,17.639999999999986,0.058772572799360254,Other
AAVE,2025-07-14,305.99,331.63,305.41,315.24,28098315.23,4029975066,15210525.273239609,0.030229746070133068,,,26.21999999999997,0.08585180576929363,Other
AAVE,2025-07-15,315.24,331.31,305.74,327.47,29306526.0,4029975066,15210525.273239609,0.03879583809161269,0.4745181777952289,,25.569999999999993,0.08363315235167133,Other
AAVE,2025-07-16,327.47,334.98,321.22,323.48,18985626.62,4029975066,15210525.273239609,-0.012184322227990374,0.4971818923170904,,13.759999999999991,0.04283668513791168,Other
AAVE,2025-07-17,323.48,331.93,312.65,321.78,25536599.92,4029975066,15210525.273239609,-0.005255348089526546,0.49547881106839603,,19.28000000000003,0.06166640012793869,Other
AAVE,2025-07-18,321.78,338.18,311.72,324.6,42295422.38,4029975066,15210525.273239609,0.008763751631549743,0.3445955453976649,,26.45999999999998,0.08488387013986905,Other
AAVE,2025-07-19,324.6,325.83,312.11,319.35,6424353.04,4029975066,15210525.273239609,-0.016173752310536083,0.40035974750296865,,13.71999999999997,0.043958860658101215,Other
AAVE,2025-07-20,319.35,335.31,317.58,324.52,19082901.44,4029975066,15210525.273239609,0.016189134178800524,0.4033932603231258,,17.730000000000018,0.05582845267334221,Other
AAVE,2025-07-21,324.52,334.8,318.31,322.36,16098309.209999999,4029975066,15210525.273239609,-0.006655984222852074,0.36973785002942405,,16.49000000000001,0.051804844334139705,Other
AAVE,2025-07-22,322.36,324.52,300.35,310.75,25480781.06,4029975066,15210525.273239609,-0.03601563469413083,0.3254916844736497,,24.16999999999996,0.08047278175461947,Other
AAVE,2025-07-23,310.75,311.82,282.46,290.52,18465783.2,4029975066,15210525.273239609,-0.06510056315366053,0.5321503371933006,,29.360000000000014,0.10394392126318776,Other
AAVE,2025-07-24,290.52,295.61,276.52,286.21,13906470.22,4029975066,15210525.273239609,-0.014835467437697925,0.526057555838408,,19.090000000000032,0.06903659771445116,Other
AAVE,2025-07-25,286.21,295.34,280.4,294.28,13683124.88,4029975066,15210525.273239609,0.02819607980154437,0.5963155147333671,,14.939999999999998,0.053281027104136944,Other
AAVE,2025-07-26,294.28,299.76,292.39,294.99,5846005.74,4029975066,15210525.273239609,0.002412668207149693,0.6062387193154678,,7.3700000000000045,0.025206060398782464,Other
AAVE,2025-07-27,294.99,305.79,294.14,305.13,6297038.03,4029975066,15210525.273239609,0.03437404657785015,0.666744522597724,,11.650000000000034,0.03960698986877009,Other
AAVE,2025-07-28,305.13,308.98,285.82,288.94,10927570.89,4029975066,15210525.273239609,-0.05305935175171239,0.7402212980367029,,23.160000000000025,0.08103001889300968,Other
AAVE,2025-07-29,288.94,295.54,279.21,282.29,11693484.620000001,4029975066,15210525.273239609,-0.023015158856509954,0.7233808326206908,,16.33000000000004,0.05848644389527611,Other
AAVE,2025-07-30,282.29,284.67,264.36,274.53,11314660.540000001,4029975066,15210525.273239609,-0.02748946119239093,0.5988705270173851,,20.310000000000002,0.07682705401724921,Other
AAVE,2025-07-31,274.53,280.12,259.94,260.92,13022683.6,4029975066,15210525.273239609,-0.049575638363748786,0.6723299332490953,,20.180000000000007,0.07763329999230595,Other
AAVE,2025-08-01,260.92,262.7,249.17,255.4,15774716.56,4029975066,15210525.273239609,-0.021155909857427657,0.5780181413191227,,13.530000000000001,0.05430027691937232,Other
AAVE,2025-08-02,255.4,257.93,245.03,249.37,6952879.9399999995,4029975066,15210525.273239609,-0.023610023492560694,0.5473401541615068,,12.900000000000006,0.05264661470024081,Other
AAVE,2025-08-03,249.37,260.89,246.64,260.05,5136808.61,4029975066,15210525.273239609,0.042827926374463754,0.6022392777742407,,14.25,0.05777651638014921,Other
AAVE,2025-08-04,260.05,271.06,259.64,267.77,7899925.62,4029975066,15210525.273239609,0.029686598731013092,0.6391954677964626,,11.420000000000016,0.04398397781543682,Other
AAVE,2025-08-05,267.77,268.2,250.44,255.39,7769025.7700000005,4029975066,15210525.273239609,-0.04623370803301341,0.6873914264542442,,17.75999999999999,0.07091518926689024,Other
AAVE,2025-08-06,255.39,264.46,251.37,263.58,8158952.29,4029975066,15210525.273239609,0.03206860096323272,0.7464465598944068,,13.089999999999975,0.05207463102199934,Other
AAVE,2025-08-07,263.58,265.39,263.52,264.84,126257.8,4029975066,15210525.273239609,0.00478033234691555,0.646055036432755,0.586435112582498,1.8700000000000045,0.0070962355798421545,Other
AB,2025-07-08,0.008359,0.008659,0.008338,0.008506,14607336.370000001,579974026,71389345131.95,,,,0.0003210000000000001,0.03849844087311107,Other
AB,2025-07-09,0.008506,0.008705,0.008499,0.008574,15697810.18,579974026,71389345131.95,0.007994356924523993,,,0.00020599999999999959,0.02423814566419574,Other
AB,2025-07-10,0.008574,0.009147,0.008553,0.009076,15535651.58,579974026,71389345131.95,0.05854910193608598,,,0.0005940000000000008,0.06944931602946344,Other
AB,2025-07-11,0.009076,0.009513,0.00902,0.009046,16574762.47,579974026,71389345131.95,-0.0033054208902600912,,,0.0004930000000000004,0.054656319290465674,Other
AB,2025-07-12,0.009046,0.009124,0.008695,0.008759,16397492.48,579974026,71389345131.95,-0.03172673004642945,,,0.00042900000000000056,0.04933870040253026,Other
AB,2025-07-13,0.008759,0.00895,0.008696,0.008755,15464285.91,579974026,71389345131.95,-0.0004566731362026788,,,0.000253999999999999,0.029208831646734015,Other
AB,2025-07-14,0.008755,0.008826,0.008671,0.008744,13947514.34,579974026,71389345131.95,-0.0012564249000571737,,,0.00015500000000000062,0.017875677545842534,Other
AB,2025-07-15,0.008744,0.008757,0.008594,0.008652,14520975.72,579974026,71389345131.95,-0.01052150045745659,0.5271970475584873,,0.00016299999999999995,0.018966720968117287,Other
AB,2025-07-16,0.008652,0.008968,0.008623,0.008884,16265636.42,579974026,71389345131.95,0.026814609338881024,0.5553427804328661,,0.0003449999999999998,0.040009277513626325,Other
AB,2025-07-17,0.008884,0.008926,0.008625,0.008691,17340894.01,579974026,71389345131.95,-0.02172444844664556,0.3545891727468074,,0.0003009999999999992,0.034898550724637586,Other
AB,2025-07-18,0.008691,0.008971,0.008689,0.008788,17078092.85,579974026,71389345131.95,0.011160971119548835,0.37607555877444376,,0.00028199999999999927,0.0324548279433766,Other
AB,2025-07-19,0.008788,0.008816,0.008685,0.008743,16647217.23,579974026,71389345131.95,-0.005120619025944406,0.2974162193523293,,0.00013099999999999917,0.015083477259642968,Other
AB,2025-07-20,0.008743,0.008871,0.008702,0.008793,15442055.69,579974026,71389345131.95,0.005718860802927939,0.3003670680725691,,0.00016900000000000075,0.019420822799356557,Other
AB,2025-07-21,0.008793,0.008838,0.008605,0.008652,15360691.67,579974026,71389345131.95,-0.01603548277038558,0.32430135996110465,,0.00023300000000000057,0.027077280650784494,Other
AB,2025-07-22,0.008652,0.008674,0.008447,0.008618,14468869.68,579974026,71389345131.95,-0.003929727230698066,0.316403280393908,,0.00022699999999999977,0.026873446193914973,Other
AB,2025-07-23,0.008618,0.008896,0.008618,0.008683,16254089.15,579974026,71389345131.95,0.007542353214202713,0.23571074897725722,,0.00027799999999999873,0.032258064516128886,Other
AB,2025-07-24,0.008683,0.008824,0.008581,0.008754,16854567.85,579974026,71389345131.95,0.008176897385696158,0.18649909282265856,,0.00024300000000000016,0.028318377811443907,Other
AB,2025-07-25,0.008754,0.00878,0.008683,0.008734,15444237.8,579974026,71389345131.95,-0.0022846698652043695,0.16645216843123803,,9.699999999999986e-05,0.011171254174824355,Other
AB,2025-07-26,0.008734,0.008898,0.00864,0.008737,15266240.76,579974026,71389345131.95,0.00034348523013494336,0.16254952099613196,,0.00025799999999999955,0.029861111111111057,Other
AB,2025-07-27,0.008737,0.008822,0.008599,0.008737,15127541.55,579974026,71389345131.95,0.0,0.15524818175590716,,0.00022299999999999924,0.02593324805209899,Other
AB,2025-07-28,0.008737,0.008748,0.008425,0.00854,15661873.94,579974026,71389345131.95,-0.022547785280988775,0.19575100056523345,,0.00032300000000000037,0.038338278931750784,Other
AB,2025-07-29,0.00854,0.008677,0.008399,0.008517,16440336.549999999,579974026,71389345131.95,-0.002693208430913363,0.1951407543913193,,0.00027800000000000047,0.033099178473627866,Other
AB,2025-07-30,0.008517,0.008647,0.00841,0.008439,14937596.86,579974026,71389345131.95,-0.009158154279675923,0.18431032682469578,,0.00023699999999999936,0.02818073721759802,Other
AB,2025-07-31,0.008439,0.008533,0.0084,0.008427,14764750.55,579974026,71389345131.95,-0.0014219694276572659,0.15660920614842774,,0.00013300000000000117,0.015833333333333473,Other
AB,2025-08-01,0.008427,0.00845,0.008254,0.008304,15047323.36,579974026,71389345131.95,-0.014595941616233565,0.1666472446131211,,0.000196,0.023746062515144176,Other
AB,2025-08-02,0.008304,0.008351,0.00819,0.008264,15437235.68,579974026,71389345131.95,-0.004816955684007751,0.15637438997561026,,0.00016100000000000142,0.019658119658119835,Other
AB,2025-08-03,0.008264,0.008303,0.008026,0.008175,14795481.86,579974026,71389345131.95,-0.010769603097773528,0.1419918071099595,,0.00027699999999999947,0.034512833291801576,Other
AB,2025-08-04,0.008175,0.008197,0.008125,0.00818,13055649.07,579974026,71389345131.95,0.0006116207951070152,0.1056598317242953,,7.199999999999915e-05,0.008861538461538357,Other
AB,2025-08-05,0.00818,0.008223,0.008027,0.008116,13670398.07,579974026,71389345131.95,-0.007823960880195546,0.10196626751317277,,0.000196,0.02441759063161829,Other
AB,2025-08-06,0.008116,0.00818,0.007975,0.008122,14933957.82,579974026,71389345131.95,0.0007392804337111869,0.11282657526388899,,0.00020500000000000032,0.025705329153605058,Other
AB,2025-08-07,0.008122,0.008129,0.008119,0.008127,427306.51,579974026,71389345131.95,0.0006156119182467723,0.11807762219727523,0.30427129069490577,1.0000000000001327e-05,0.0012316787781748155,Other
ADA,2025-07-08,0.5805,0.592,0.5723,0.5885,27097258.240000002,26865514759,36187150377.9206,,,,0.01969999999999994,0.034422505678839664,Other
ADA,2025-07-09,0.5885,0.6276,0.5842,0.6229,66118750.41,26865514759,36187150377.9206,0.05845369583687332,,,0.043399999999999994,0.07428962684012323,Other
ADA,2025-07-10,0.6229,0.6802,0.6177,0.6775,57580751.37,26865514759,36187150377.9206,0.08765451918445977,,,0.0625,0.10118180346446494,Other
ADA,2025-07-11,0.6775,0.7769,0.6682,0.7094,174639262.35,26865514759,36187150377.9206,0.047084870848708604,,,0.10870000000000002,0.16267584555522302,Other
ADA,2025-07-12,0.7094,0.737,0.6885,0.7091,60891819.74,26865514759,36187150377.9206,-0.0004228925852834964,,,0.04849999999999999,0.07044299201161945,Other
ADA,2025-07-13,0.7091,0.7563,0.7053,0.737,77279126.49,26865514759,36187150377.9206,0.03934564941475105,,,0.050999999999999934,0.07230965546575915,Other
ADA,2025-07-14,0.737,0.7683,0.7214,0.7354,97289375.7,26865514759,36187150377.9206,-0.002170963364993117,,,0.04689999999999994,0.06501247574161345,Other
ADA,2025-07-15,0.7354,0.7542,0.7107,0.7469,80265738.62,26865514759,36187150377.9206,0.01563774816426422,0.6287642377318085,,0.04349999999999998,0.061207260447446156,Other
ADA,2025-07-16,0.7469,0.7849,0.7331,0.7648,74581987.31,26865514759,36187150377.9206,0.02396572499665295,0.5994171457705707,,0.05180000000000007,0.07065884599645351,Other
ADA,2025-07-17,0.7648,0.8391,0.7404,0.8224,130714661.01,26865514759,36187150377.9206,0.07531380753138084,0.5300105155698615,,0.09870000000000001,0.13330632090761751,Other
ADA,2025-07-18,0.8224,0.8959,0.7964,0.8165,161876641.91,26865514759,36187150377.9206,-0.0071741245136186516,0.55770055945707,,0.09950000000000003,0.12493721747865398,Other
ADA,2025-07-19,0.8165,0.8378,0.8026,0.8303,43913702.769999996,26865514759,36187150377.9206,0.016901408450704203,0.5312993205619305,,0.03520000000000001,0.04385746324445553,Other
ADA,2025-07-20,0.8303,0.8787,0.8238,0.8585,89497648.44,26865514759,36187150377.9206,0.03396362760448035,0.5226496386399304,,0.05490000000000006,0.06664238892935186,Other
ADA,2025-07-21,0.8585,0.9342,0.8418,0.8897,150868291.57,26865514759,36187150377.9206,0.036342457775189185,0.48540037020272436,,0.09240000000000004,0.10976478973627944,Other
ADA,2025-07-22,0.8897,0.91,0.853,0.9039,99603301.41,26865514759,36187150377.9206,0.015960436102056885,0.48491183505770546,,0.05700000000000005,0.06682297772567415,Other
ADA,2025-07-23,0.9039,0.9042,0.7861,0.8164,102374360.25,26865514759,36187150377.9206,-0.09680274366633479,1.0263510862276541,,0.11809999999999998,0.1502353390153924,Other
ADA,2025-07-24,0.8164,0.8389,0.7623,0.8061,116952534.82,26865514759,36187150377.9206,-0.012616364527192503,0.8744694570053195,,0.0766,0.10048537321264595,Other
ADA,2025-07-25,0.8061,0.8184,0.775,0.816,76373315.87,26865514759,36187150377.9206,0.01228135467063618,0.8786306387922558,,0.043399999999999994,0.055999999999999994,Other
ADA,2025-07-26,0.816,0.8388,0.8123,0.82,34749591.39,26865514759,36187150377.9206,0.004901960784313708,0.8695300016259118,,0.026499999999999968,0.032623414994460136,Other
ADA,2025-07-27,0.82,0.8395,0.8147,0.8323,37433935.12,26865514759,36187150377.9206,0.015000000000000124,0.8333691867742198,,0.024800000000000044,0.030440653001104757,Other
ADA,2025-07-28,0.8323,0.8559,0.7858,0.7931,66232412.39,26865514759,36187150377.9206,-0.047098402018502905,0.807734562199164,,0.07009999999999994,0.08920844998727404,Other
ADA,2025-07-29,0.7931,0.8098,0.7691,0.7828,49680113.43,26865514759,36187150377.9206,-0.012987012987012991,0.7651079925250112,,0.04069999999999996,0.05291899622935894,Other
ADA,2025-07-30,0.7828,0.7895,0.7307,0.7633,50412007.89,26865514759,36187150377.9206,-0.02491057741440994,0.4239788251410075,,0.05879999999999996,0.08047078144245239,Other
ADA,2025-07-31,0.7633,0.7893,0.736,0.739,38429485.33,26865514759,36187150377.9206,-0.03183545132975241,0.4546020645983251,,0.053300000000000014,0.07241847826086958,Other
ADA,2025-08-01,0.739,0.7409,0.6961,0.7143,91573575.84,26865514759,36187150377.9206,-0.033423545331529025,0.42432122564827784,,0.04479999999999995,0.06435856917109603,Other
ADA,2025-08-02,0.7143,0.7273,0.6843,0.6973,38414395.25,26865514759,36187150377.9206,-0.02379952400951979,0.37530918105115635,,0.04299999999999993,0.06283793657752437,Other
ADA,2025-08-03,0.6973,0.7309,0.687,0.7271,32664947.36,26865514759,36187150377.9206,0.04273626846407552,0.5552176518161804,,0.04389999999999994,0.0639010189228529,Other
ADA,2025-08-04,0.7271,0.7591,0.7252,0.7547,41983026.39,26865514759,36187150377.9206,0.03795901526612577,0.6262915061427077,,0.03390000000000004,0.04674572531715395,Other
ADA,2025-08-05,0.7547,0.7598,0.713,0.7257,41540765.81,26865514759,36187150377.9206,-0.03842586458195307,0.6676270086665644,,0.046800000000000064,0.06563814866760177,Other
ADA,2025-08-06,0.7257,0.7481,0.7107,0.7415,33688781.54,26865514759,36187150377.9206,0.021772082127601067,0.6899640327027633,,0.03739999999999999,0.05262417335021808,Other
ADA,2025-08-07,0.7415,0.7431,0.7391,0.7408,496267.82,26865514759,36187150377.9206,-0.0009440323668240547,0.6477571248736534,0.7369704019851699,0.0040000000000000036,0.005411987552428634,Other
AERO,2025-07-08,0.6754,0.7162,0.6663,0.6996,8507190.83,666820334,878872433.810755,,,,0.049899999999999944,0.07489119015458494,Other
AERO,2025-07-09,0.6996,0.75,0.6972,0.7244,9364558.72,666820334,878872433.810755,0.035448827901658264,,,0.05279999999999996,0.07573149741824434,Other
AERO,2025-07-10,0.7244,0.7993,0.7185,0.7873,11058313.26,666820334,878872433.810755,0.08683048039757035,,,0.08079999999999998,0.1124565066109951,Other
AERO,2025-07-11,0.7873,0.8301,0.7743,0.7896,17256604.16,666820334,878872433.810755,0.0029213768576146215,,,0.05579999999999996,0.07206509104998057,Other
AERO,2025-07-12,0.7896,0.7953,0.7454,0.7725,8138499.05,666820334,878872433.810755,-0.021656534954407336,,,0.049900000000000055,0.0669439227260532,Other
AERO,2025-07-13,0.7725,0.8667,0.7704,0.8215,13230171.91,666820334,878872433.810755,0.06343042071197424,,,0.09630000000000005,0.12500000000000008,Other
